name,tasting_notes,price,description,url
Panama Altieri Mimas Geisha Anaerobic Natural,"Floral, Berries, Stone Fruit",259.00 AED,"This particular lot is a blend of three nanolots from different areas of Altieri's Mimas Estate farm. All three lots (Alessa, Chombi and Tom) grow at different altitudes of Mimas Estate under different levels of shade. The difference creates different sensory profiles in the lots and when blended together, a unique profile greater than the sum of its part.",https://threecoffee.com/products/panama-altieri-mimas-geisha-anaerobic-natural
Rwanda Nyamasheke Hypernatural,"Floral, Red Fruit, Sweet",75.00 AED,"Coffee in Rwanda is mainly grown on lots of small farms. These famers do not process the coffee themselves, but rather, bring it to the local washing station. The best run stations pay more for quality cherry; meaning they are all fully ripe, well developed and brought from the farm rapidly to be immediately processed. At the Nyamasheke Washing Station (CWS), these points are made top priority. The high elevation at which the washing station sits, makes it ideal for producing slow-dried naturals that exhibit loads of sweetness. This coffee is a fantastic representation of what Rwanda has to offer with notes of florals, red fruit, sweet citrus, chocolate a slightly funky finish.",https://threecoffee.com/products/rwanda-rugali-hypernatural
Magical Mystery Halloween Edition,"Fruity, Floral, Sweet",89.00 AED,"Each bag contains 250g of a mystery blend of premium fruited coffees. The espresso option is a blend of naturally processed Geisha varietals from Panama and Colombia. The filter option is a blend of competition level anaerobic natural coffees from Central and South America. Expect notes of florals, red fruits, chocolates and a clean, sweet finish.",https://threecoffee.com/products/magical-mystery-halloween-coffee
Panama Finca Hartmann Geisha Coffee,"Jasmine, Nectarine, Citrus",100.00 AED,"Finca Hartmann Geisha Coffee
The Hartmann family consistently produces some of the best coffees in Panama. They have won several awards in the prestigious Best of Panama (BOP) competition, including first place for the Hartmann Estate Natural. This particular Geisha lot is from the Jardin area of the Hartmann Estate and is processed as a washed coffee. Expect notes of jasmine, stone fruits such as nectarine, and sugary sweetness in each sip. 
Order your Panama Finca Hartmann Geisha washed coffee to start enjoying its delicate, delectable flavours.",https://threecoffee.com/products/panama-finca-hartmann-geisha-washed
Panama Finca Deborah Geisha Symbiosis Anaerobic Natural,"Berries, Apple, Citrus",189.00 AED,"Jamison Savage, the owner and producer behind Finca Deborah, consistently produces some of the worlds most sought after coffees. Originally gaining industry popularity in 2016 when their washed Geisha was used to win the World Barista Championship, Jamison's coffees have been used in multiple WBC and WBrC championships. Jamison uses proprietary processing techniques, including the infamous Carbonic Maceration, to produce flavour profiles that are unique and delicious. You can expect clean, fruit forward cup profiles from Finca Deborah. 
Symbiosis is Jamison's classic anaerobic natural process whereby cherries are paced in sealed tanks and left to ferment in a low oxygen environment. No external gas is added during this stage. Cherries are then removed from the tanks, washed and dried for around 25 days. Symbiosis is a little funkier and bolder than the CM and other experimental coffees from Jamison. Expect a fruit forward cup with notes of red fruit, purple fruit and a brown sugar-like sweetness.",https://threecoffee.com/products/panama-finca-deborah-geisha-symbiosis-anaerobic-natural
Colombia Inmaculada Signature Geisha Natural,"Floral, Jasmine, Stone Fruit",105.00 AED,"Julian from Inmaculada is one of the most prestigious producers in the world. Inmaculada's fame is not only due to their rare varietals but also the attention to detail in quality control. This particular lot is the Geisha variety and has been processed as a regular Natural. It is also part of the ""Signature"" series, the more premium of Julian's farms' offerings. Expect notes of Jasmine, Lemongrass, Stone fruit and a deep sweetness.",https://threecoffee.com/products/colombia-inmaculada-signature-geisha
Geisha Drip Kit Box,"Floral, Sweet, Exotic",100.00 AED,"Geisha Coffee Drip Kit Box
Welcome to Deliciousness. This Goodie Box contains a mix of our Geisha micro-lot coffees. The Geisha coffee varietal is the most expensive coffee in the world and is prized for its trademark flavour expression of florals and high quality fruit notes. Geisha coffee exhibits a delicacy not often found in other varietals, displaying transparency of flavour over intensity. Expect high quality fruit notes, florals, high sweetness and a silky mouthfeel from the best Geisha coffee beans.
Each Goodie Box contains 7 individual drip coffee pouches. Each pouch makes one cup of filter coffee.",https://threecoffee.com/products/geisha
Indonesia Yeast Fermentation Natural,"Gooseberry, Blackcurrant, Chocolate",135.00 AED,"This is one of the most exciting coffees we sourced this year. Being anaerobically fermented through the carbonic maceration process, this Indonesian displays notes that we've never seen before. When the cherries are harvested they're hand sorted so that only the ripest and sugar-dense cherries make it into the lot. The remaining cherries are then placed in stainless steel tanks pumped full of carbon dioxide, and left to ferment in an anaerobic environment for 16 days. The cherries are then depulped (no water used), removing the out skin layer and left to dry on raised beds for a further 18 days. Expect cranberry, gooseberry, chocolate and a funky undertone in the cup. Try our Indonesia carbonic maceration coffee today.",https://threecoffee.com/products/indonesia-carbonic-natural
Colombia Mikava 6-Day Anaerobic Natural Geisha,"Lavender, Mango, Peach",149.00 AED,"Mikava has two separate farms around area of Risaralda; one called Marsella, the other Santuario. Their coffees first won international acclaim in 2019 being the first naturally processed Geisha to win the Colombian Cup of Excellence. Their Extended Fermentation Carbonic Maceration Geisha went on to win the World Brewers cup in 2022, along with 10+ national championships in between. Mikva's production is incredibly small each year and we're honoured to reselected as one of their partner roasters.
This particular Geisha lot is from Paul's Santuario farm. It is made up of 10 small nano-lots (no larger than 5KG) that Drew hand selected to be part of this limited offering. Out of 50+ lots cupped, Drew chose only these 10 because of their floridity and intense yellow-fruit sweetness. All of these nano-lots have been processed as naturals with a 6-day anaerobic fermentation. Expect lavender-like florals, yellow tropical fruits, stone fruits and deep sweetness.",https://threecoffee.com/products/colombia-mikava-natural-geisha
Yemen Bait Alal Deep Fermentation Natural,"n, o,  , t, a, s, t, i, n, g,  , n, o, t, e, s",75.00 AED,"The Sana'a governate, where this coffee was grown has the biggest share of specialty coffee production, in both quality and qualitity in Yemen. This particular lot was processed by QIMA as a Deep Fermentation Natural. This style of processing aims to intensify the natural characterisitcs of the beans, leading to a clean and vibrant cup. Expect notes of Purple fruits, Red fruits and a deep sweetness.",https://threecoffee.com/products/yemen-bait-alal-deep-fermentation-natural
Panama Altieri Rola Catuai Anaerobic Natural,"Prunes, Berries, Cherry",89.00 AED,"This Rola lot is a fantastic example of what Catuai can taste like with exception processing. Cherries are placed in sealed plastic tanks to undergo anaerobic fermentation for 96 hours. After, the coffee is slowly dried in African beds for 25 days. This extended drying time contributes to high sweetness in the cup. Expect an intensely fruit forward cup with a balanced acidity and sweetness.",https://threecoffee.com/products/panama-altieri-rola-151222-catuai-anaerobic-natural
THREE cupping spoon,"n, o,  , t, a, s, t, i, n, g,  , n, o, t, e, s",49.00 AED,"Our cupping spoons are 100% food-grade stainless steel. They're dishwasher safe, although, hand washing with mild dishwashing soap and water is recommended. Please note detergent with high acidity content will cause slight discoloration. To best protect the color of the spoon, don't use a cleaner/polish agent or water containing high salt concentration when cleaning. Slurp Away. Stay Funky.",https://threecoffee.com/products/three-cupping-spoon
Panama Finca Deborah Geisha Afterglow Natural,"Mandarin, Tropical, Yellow Fruits",169.00 AED,"Jamison Savage, the owner and producer behind Finca Deborah, consistently produces some of the worlds most sought after coffees. Originally gaining industry popularity in 2016 when their washed Geisha was used to win the World Barista Championship, Jamison's coffees have been used in multiple WBC and WBrC championships. Jamison uses proprietary processing techniques, including the infamous Carbonic Maceration, to produce flavour profiles that are unique and delicious. You can expect clean, fruit forward cup profiles from Finca Deborah. 
Afterglow is Deborah's Geisha processed as a classic natural. Due to minimal fermentation impacting the final cup, it is important only the ripest cherries are selected for this process. Cherries are selectively picked with only 22-24 BRIX making the cut. After harvest and selection, cherries are placed in the ""White Room"", Jamison's three-tierd, shaded drying room. Here, cherries cycle between the hottest and coolest tiers depending on their moisture content. Initially, the hottest top-tier is required to quickly reduce water content and potential for unwanted microbial activity. As the cherries loose moisture, they are cycled to lower tiers where it is cooler and moisture loss decelerates. Expect a delicate and juicy cup with notes of florals, with yellow and orange fruits.",https://threecoffee.com/products/panama-finca-deborah-geisha-afterglow-natural
Yemen Naji al Khoulani Anaerobic,"Dried Fruit, Candy, Stone Fruit",179.00 AED,"Naji al Khoulani’s farm is situated in Shaia’an Village in the Governate of Ibb. The farm has a modest 2300 production trees with another 1050 being planted in 2021, ready for production in 2027. This particular lot from Naji was processed as an anaerobic natural with a fermentation time of 7 days. Expect notes of dried fruits, stone fruit and a deep candy-like sweetness.",https://threecoffee.com/products/yemen-naji-al-khoulani-anaerobic
Panama Carmen Estate Washed Geisha,"Jasmine, Peach, Citrus",140.00 AED,"This particular lot is a blend of two different washed Geisha lots; Lot 4 and Lot 10. We have decided to present these two lots as a blend as they combine two very different profiles, one very rare in a washed coffee. Lot 4 offers the jasmine florals and stone fruit notes classic to a washed Geisha, while Lot 10 adds a rare tropical touch. This coffee is absolutely the best washed Geisha we have tried, period.",https://threecoffee.com/products/panama-carmen-estate-washed-geisha
Costa Rica Hacienda Bolivar SL28 Washed,"Floral, Citrus, Brown Sugar",55.00 AED,"Hacienda Bolivar has its own micromill, which enables the farm to keep lots separated by variety and create unique microlots. Diego experiments a lot with different versions of naturals, honeys and anaerobics, always searching for new and unique flavours in his coffees. This particular lots was processed as a washed, giving it a cleaner profile and vibrant acidity.",https://threecoffee.com/products/costa-rica-hacienda-bolivar-sl28-washed
Colombia Wilton Benitez Anaerobic Natural,"Peach, Lychee, Tropical",85.00 AED,"This particular lot is a Colombia varietal processed as an experimental anaerobic natural and dried in proprietary drying chambers. This coffee's aromatic intensity makes us beleive that it is infused in some way, most likely through addition of volatiles during drying. Expect stone fruit, white fruits, tropical fruits and caramel.",https://threecoffee.com/products/colombia-wilton-benitez-anaerobic-natural
Panama Finca Momoto Geisha Natural,"Floral, Red Fruit, Stone Fruit",100.00 AED,"This is a great example of how meticulous processing can enhance the sensory
characteristics of the Geisha varietal and allow it to shine in the cup. Processed as a Natural, with a drying time of 30 days, this Geisha is super sweet and fruit-forward. Expect notes of florals, and yellow fruit coming from the varietal, with purple and red fruit coming from the fermentation during drying.",https://threecoffee.com/products/panama-finca-momoto-geisha-natural
Ethiopia Guji Anasora Anaerobic,"Plum, Tropical, Spices",59.00 AED,,https://threecoffee.com/products/ethiopia-guji-anasora-anaerobic
Yemen Wadi Jannat Alchemy Anaerobic,"Red Apple, Cherry, Chocolate",105.00 AED,"Al Wadi Jannat, or ""The Valley of Gardens"" is a lush area famous for its agriculture and endless green landscapes. The rainfall in this area helps the coffee trees feed cherries with water soluble nutrients, leading a more flavourful cup profile. This coffee was processed and an anaerorbic natural through QIMA's proprietary 'Alchemy' process. Expect bold flavours of red and purple fruits, and chocolates.",https://threecoffee.com/products/yemen-wadi-jannat-alchemy-anaerobic
Panama Finca Bonita SL28 Natural,"Plum, Honey, Apricot, Apricot",150.00 AED,"The Hartmanns consistently produce some of the best coffees in Panama. They have won several awards in the prestigious Best of Panama (BOP) competition, including 1st place for the Hartmann Estate Natural. This particular lot is from Finca Bonita Springs, a farm owned solely by Ratibor and Tessie Hartmann and is processed as a regular, slow-dry Natural with a drying time of 30 days. Expect notes of Florals, Apricot, Honey and a deep sweetness.",https://threecoffee.com/products/panama-finca-bonita-sl28-natural
Panama Jurutungo Geisha Anaerobic Honey,"Plum, Stone Fruit, Jammy",169.00 AED,"""Jurutungo"" is a farm manged by the infamous Jose ""Pocho"" Gallardo. Pocho is more commonly known for his own farm Finca Nuguo which won first place in the 2021 Best of Panama Natural Geisha category. Having a Ph.D in civil engineering, Pocho applies strict and repeatable fermentation and drying protocols to his processing techniques. Doing these in small batches has allowed him to make progress in identifying how fermentation length and drying time and the temperature of these stages impact the final cup. In these small batch processing experiments, we have been able to get more information about how the coffees were processed, which has in turn infleunced which lots we buy.",https://threecoffee.com/products/panama-jurutungo-geisha-anaerobic-honey
Yemen Somara Village Anaerobic Natural,"Red Fruit, Stone Fruit, Dried Fruit",55.00 AED,"Somara Village sits within the Al Gafra region of the Ibb Governate. Somara has a population of less than 1000 in habitants and around 5000 coffee trees. The Ibb Governate sits firmly within the ""Green Belt"" of agricultural production in Yemen. As such, their coffees tend to have a stone fruit quality, a direct result of increased access to water during development. This particular lot was processed as a natural with an anaerobic fermentation length of 7 days. Expect red and yellow stone fruits in the cup with a dried fruit sweetness.",https://threecoffee.com/products/yemen-somara-village-anaerobic-natural
Costa Rica Volcan Azul H1 Hybrid,"Cherry, Apple, Sweet",70.00 AED,"Costa Rica Volcan Azul Coffee
This Costa Rica Volcan Azul H1 Hybrid was processed as a cold fermentation anaerobic natural. The cold fermentation environment results in higher sweetness and lower overall acidity in the cup. 
As a hybrid of the famed Sudan Rume varietal combined with a research varietal derived from Sarchimore,  the Costa Rica Volcan Azul coffee offers both the floral and red fruit notes of a Sudan Rume combined with the flavour intensity of the Sarchimor.
Add these single origin, light roast beans to your cart now.",https://threecoffee.com/products/costa-rica-volcan-azul-h1-hybrid
Your Choice Goodie Box,"n, o,  , t, a, s, t, i, n, g,  , n, o, t, e, s",80.00 AED,"This Goodie Box contains 7 individual drip coffee pouches of the coffee of your choice. Enjoy at home, in the office or when you’re camping. Each pouch makes one cup of filter coffee and only takes a few minutes of your time. All you will need is a tall mug, hot water (around 90 degrees) and you’ve got yourself a cup of specialty coffee wherever you are, whenever you want",https://threecoffee.com/products/party-goodie-box
Kenya Bomu La Matunda Natural,"Plum, Jammy, Brown Sugar",65.00 AED,"Bomu La Matunda translates literally to fruit bomb, and a fruit bomb it is. At an altitude of 1400-1600 masl, the Pearless Estate like many other estates and smallholders had mostly been focusing on washed lots, but now are venturing into the experimental and natural processes too. With Kenya being famous for its washed coffees, this is an interesting expression of the Kenyan origin. Expect purple fruits and a deep sweetness in the cup.",https://threecoffee.com/products/kenya-matunda-natural-1
Ethiopia Supernatural,"Berries, Kiwi, Melon",129.00 AED,"This particular Fruit Bomb Series coffee is grown and harvested by smallholders surrounding the Konga Cooperative. The 'Supernatural' processing encompasses a variety of experimental techniques, many of which have been learnt from years of carbonic maceration trials. These prized Ethiopian coffee beans come from coffee cherries that were picked, hand-sorted and floated to remove unripe and overripe cherries. The cherries are then stacked in thick piles to increase temperature, which helps to intensify sweetness and fruit qualities, while being shade-dried to maintain better control over the drying process. During this time the cherries are turned over every few hours to ensure that just the right amount of fermentation occurs within the fruit. This process results in Ethiopian Supernatural Coffee that perfectly explodes with notes of bright citrus, rich tropical fruits and florals.",https://threecoffee.com/products/ethiopia-supernatural
Colombia Caturron Carbonic Maceration,"Cherry, Caramel, Chocolate",135.00 AED,"This microlot is a varietal called Caturron, a rare genetic mutation of the Caturra variety. Recently discovered in Colombia, farmers have planted it due its unique flavour profile, leaf rust resistance and relatively high yields. This lot fermented aerobically for 24 hours before fermenting anaerobically for 50 hours in Grain-pro. During this 50 hour period, CO2 was periodically flushed into the bags. Expect notes of red and purple fruits, and a sweet-spice finish.",https://threecoffee.com/products/colombia-caturron-carbonic-maceration
Colombia Disco Carbonic Natural,"Berries, Candy, Floral",99.00 AED,"Single Origin Colombia Coffee
This is a limited run microlot coffee from the Finca La Esperanza, a farm situated high in the Central Andes at an elevation of 1800 MASL. The high altitude slows the maturation of the best espresso coffee cherries producing an incredibly sweet and vibrant coffee. Finca La Esperanza is a farm managed by Davide and his family, producers focused on delivering consistently high quality microlots. Being a Caturra varietal, this fruity coffee is naturally sweet and syrupy, with soft fruited notes. This particular lot was processed as a Carbonic Macerated Natural, adding to a complex and funky fruit forward cup profile. In the cup, you can expect notes of florals, red fruits, with a funky, spiced finish.",https://threecoffee.com/products/colombia-disco-carbonic-natural
Panama Savage Essence Carbonic Maceration Natural,"Yellow Fruits, Red Fruit, Brown Sugar",125.00 AED,"Jamison Savage, the producer behind Savage Coffees, consistently produces some of the worlds most sought after coffees. Savage Coffees source coffee cherry from high altitude farmers in the Chiriqui region. The coffees produced are blends from various farms, combined and processed in ways that allow for consistency in sensory profile year after year. Jamison uses proprietary processing techniques, including the infamous Carbonic Maceration, to produce flavour profiles that are unique and delicious. You can expect bold, fruit forward cup profiles from Savage Coffees. 
Essence is Jamison's trademark Carbonic Maceration Natural applied to the Caturra variety. Caturra cherries are sourced from farms in the surrounding Volcan and Boquete region. Once sorted, cherries are placed inside tanks, sealed and periodically flooded with carbon dioxide gas, creating a stable anaerobic environment. Once the pH drops close to 4.5, cherries are removed, washed and dried for around 20-25 days. As Essence is a single varietal but from a blend of different farms, it has a nuanced complexity, boasting exotic and purple fruit notes. Expect dark purple and tropical fruits, paired with a lively acidity in the cup.",https://threecoffee.com/products/panama-savage-essence-carbonic-maceration-natural
Brown Drip Box,"Balance, Rich, Smooth",55.00 AED,"Welcome to Balance. This Drip Box contains a mix of our Brown Range coffees - reliable everyday coffees. We’ve put this Goodie Box together to represent the best of what Brown Range coffees represent; smooth textures and balance. Expect notes of caramels, chocolates, nuts and a light sweetness in the cup. If you’re new to specialty coffee, the Brown Goodie Box is for you.
Each Drip Box contains 7 individual drip pouches. Each pouch makes one cup of filter coffee.",https://threecoffee.com/products/brown
Colombia Las Margaritas Natural Geisha,"Floral, Pineapple, Berries",239.00 AED,"Cafe Granja la Esperanza are known for producing some of the best coffees in Colombia. This Geisha lot is from the Las Margaritas farm and is processed as an anaerobic natural. The cherries have 7 days of fermentation at cool temperatures, not exceeding 30 degrees. This imparts a boozy character to the cup without introducing any negative sensory notes. After ferementation, the cherries are dried in a mechanical dryer for 24 hours and then a further 20 days in a parabolic sun dryer. Expect notes of florals, berries and tropical fruit.",https://threecoffee.com/products/cololmbia-las-margaritas-natural-geisha
Yemen Wadi Shaia'an Anaerobic Natural,"Dried Fruit, Stone Fruit, Chocolate",105.00 AED,"Mokha not Mocha (MnM) has a track record of sourcing and processing some of the best anaerobic naturals from Yemen. MnM focus on producing cleaner cup profiles, highlighting the natural sensory characters of the regions from which they source, with their coffee often displaying Berries, Stone fruits, Dried fruits and Chocolates. Expect Nectarine, Dried fruits and a sugary, Chocolate finish in the cup.",https://threecoffee.com/products/yemen-shaiaan-anaerobic-natural
Ethiopia Bombe Natural,"Jasmine, Peach, Mandarin",59.00 AED,"This is one of the most exciting Ethiopian coffees we sourced this year. Processed as a natural, it displays notes that are complex and layered. Expect a complex but well structured cup that displays everything from citrus, stone and white fruits along with a sugary sweetness.",https://threecoffee.com/products/ethiopia-bombe-spsv
Burundi Kayanza Anaerobic Lot 4,"Berries, Floral, Sweet",70.00 AED,"Being part of our Purple Range, this particular lot exhibits a deep sweetness that lingers on the palate. Being an anaerobic natural, the cherries are left to ferment for 72 hours in tanks without oxygen. They are then dried slowly within the cherry over a period of 21-28 days. This longer drying time contributes directly to the high sweetness within the cup. As this lot is from a cooperative, taking cherries from over 1500 different smallholder farms, it is complex, with hints of red fruits, purple fruits, and citrus.",https://threecoffee.com/products/burundi-anaerobic-lot-4
Ethiopia Gesha Village 1931 Surma,"Blueberry, Pineapple, Papaya",110.00 AED,"Most coffee produced in Ethiopia is grown by many small holders and purchased and processed by large washing stations. This process, although necessary in Ethiopia, obscures the provenance of the cherries. Gesha Village changes that, only processing cherry they grow, on their 471 hectare farm. This particular lot is from the Surma block and is the 1931 Gesha Varietal. Expect notes of Florals, Berries, Tropical fruits.",https://threecoffee.com/products/ethiopia-gesha-village-1931-surma
Ethiopia Limu Gera G-1,"Stone Fruit, Black Tea, Sweet",200.00 AED,"This is another absolute banger from the team at MOPLACO. Their team processed this coffee a second time after purchase through the ECX to ensure only the highest quality beans made it to us here in Dubai. After harvest, this beautiful coffee is first de-pulped and fermented underwater for 24–36 hours. It is then washed and laid on raised beds under a shade cover to dry. The drying takes 10–12 days, just slow enough to ensure the coffee maintains it sweetness and unique tea-like notes. In the cup you can expect stone fruits, black tea, jasmine and citrus fruit.",https://threecoffee.com/products/ethiopia-limu-gera-g-1
Panama Savage Parabolic Carbonic Maceration Natural,"Purple Fruit, Cherry, Tropical",95.00 AED,"Jamison Savage, the producer behind Savage Coffees, consistently produces some of the worlds most sought after coffees. Savage Coffees source coffee cherry from high altitude farmers in the Chiriqui region. The coffees produced are blends from various farms, combined and processed in ways that allow for consistency in sensory profile year after year. Jamison uses proprietary processing techniques, including the infamous Carbonic Maceration, to produce flavour profiles that are unique and delicious. You can expect bold, fruit forward cup profiles from Savage Coffees.
Parabolic is a Carbonic Maceration Natural. During this process, cherries are placed in tanks and sealed. Carbon dioxide gas is then flooded into the tanks to remove oxygen, creating an anaerobic environment for fermentation. Cherries are then removed, rinsed and dried for around 25 days. The Geisha cherries that make up Parabolic are not from a single farm, but instead sourced from many farmers in the Volcan and Boquete regions. Expect a complex and bold cup profile with high quality yellow, orange and red fruits.",https://threecoffee.com/products/panama-savage-parabolic-carbonic-maceration-natural
El Salvador Llano Grande Pacamara Natural,"Plum, Cherry, Brown Sugar",55.00 AED,,https://threecoffee.com/products/el-salvador-llano-grande-pacamara-natural
Panama Iris Estate Geisha Symbiosis Anaerobic Natural,"Fruit- Forward, Floral, Nectarine",179.00 AED,"Iris Estate is owned by Elvin Siew, Sasa Sestic and Jamison Savage (the owner and producer behind Finca Deborah), three specialty coffee juggernaughts. Iris is one of the highest altitude farms in Panama with production stretching up past 2100 m.a.s.l. This altitude is a double edged sword as it makes it difficult to grow Geisha but also produces outstanding cup profiles. Jamison uses proprietary processing techniques, including the infamous Carbonic Maceration, to produce flavour profiles that are unique and delicious. You can expect clean, delicate fruit forward cup profiles from Iris Estate. 
Symbiosis is the classic anaerobic natural process employed by Jamison Savage. Cherries are paced in sealed tanks and left to ferment in a low oxygen environment, with no external gas is added to the tank. Cherries are then removed from the tanks, washed and dried for around 25 days. Symbiosis is a little funkier and bolder than the CM and other experimental coffees from Jamison. Expect a fruit forward cup with notes of red fruit, purple fruit and a brown sugar-like sweetness.",https://threecoffee.com/products/panama-iris-estate-geisha-symbiosis-anaerobic-natural
Guatemala Nebula Carbonic Geisha,"Cherry, Vibrant, Cacao",125.00 AED,"Anaerobic Process Coffee
The La Rosas farm was founded by Eduardo Palmita Snr. in 1874, with the first coffee planted around 1900. Today, Finca La Rosas is managed by the third and fourth generations of the Palmita family. The property is planted with about 620 acres of coffee, with another 1,160 acres of rain forest preserve adjoining the farm. The quality of this Honey Processed Geisha anaerobic natural coffee is a testament to how well the Palmitas look after the ecology of their farm and the cleanliness with which they process their Guatemala coffee beans. When you buy Geisha coffee from the La Rosas farm, expect notes of Blackberry, deep purple fruits like Plum and Black Tea in the finish.",https://threecoffee.com/products/guatemala-nebula-carbonic-geisha
Yemen Al Bait Alchemy Peaberry,"Turkish Delights, Berries, Stone Fruit",95.00 AED,"This Yemeni is from coffee producing region of Sana'a. The farmers who contribute to this lot receive money for both the cherry they give to the cooperative as well as a profit sharing on the final price paid by THREE. This lot is processed using QIMA's  ""Alchemy"" Anaerobic fermentation. You can expect notes of turkish delight, berries and stone fruit in the cup.",https://threecoffee.com/products/yemen-peaberry
